STATE,LATITUDE,LONGITUDE
AGUASCALIENTES,22,-102
BAJA CALIFORNIA,32,-115
BAJA CALIFORNIA SUR,24,-110
CAMPECHE,19,-90
CHIAPAS,16,-93
CHIHUAHUA,28,-106
COAHUILA,25,-101
COLIMA,19,-103
DURANGO,24,-104
GUANAJUATO,21,-101
GUERRERO,17,-99
HIDALGO,20,-98
JALISCO,20,-103
MEXICO CITY,19,-99
MEXICO STATE,20,-99
MICHOACAN,19,-101
MORELOS,19,-99
NAYARIT,21,-105
NUEVO LEON,25,-100
OAXACA,17,-96
PUEBLA,19,-98
QUERETARO,21,-100
QUINTANA ROO,19,-88
SAN LUIS POTOSI,22,-101
SINALOA,25,-107
SONORA,29,-110
TABASCO,18,-93
TLAXCALA,19,-98
TAMAULIPAS,24,-99
VERACRUZ,19,-96
YUCATAN,21,-90
ZACATECAS,23,-103
